词条,创建年,摘要
浮云,2014,摘要： 神马都是浮云(everything is nothing)
小鸟伏特加,2020,摘要： 小鸟伏特加的来源和意思这是抖音上一个名叫“新二的快乐生活”的网红给他自己配置的饮料起的名字。新二的快乐生活经常会发布一些模仿俄罗斯人吃饭喝酒的视频，视频中能看到他拿出一个15L的大水桶，里面装着他自制的
床底料,2020,摘要： 是指好像是趴在别人床底下听到看到一样的爆料。其实范围不是特别明确，一般指与性相关的或者发生在明星自己房间里的事情。
甩棍,2021,摘要： 甩棍的来源和意思指的是好人队伍中的反派角色或者说内奸，如公安机关中给坏人做内应的人。也可以用来形容狼人杀游戏中的狼人。一般常见于各种电视剧中的弹幕，遇到有内奸存在的情节，就会各种发弹幕说谁谁谁是甩棍。该
逆袭,2015,摘要： 屌丝终有逆袭日，黑耳再无回粉时
蕾丝边,2014,摘要： 我对男人不感兴趣，我是蕾丝边吗？
脆皮鸭文学,2018,摘要： 脆皮鸭文学的来源和意思我可以负责任的告诉大家，脆皮鸭文学这个网络流行语跟吃真的没有任何关系，接下来我们一起来解读一下这个词的含义吧。脆皮鸭是cpy的中文翻译，而cpy这三个字母，又是插屁眼的隐晦缩写方式
土归透,2020,摘要： 土归透的来源和意思原句：土归土，但这个女人我透定了！（还有一种说法是土归土透归透）“透”，是山西，内蒙片区的方言，相当于“cao”。“土归透”实际上表达的意思是，这个女人虽然土，令人做呕，但是我要定了的
带节奏,2021,摘要： 带节奏的来源和意思带节奏最早是游戏竞技的一个术语，指的是玩得好的玩家或者有优势的玩家，能够带领队伍打出一波漂亮的团战，把握好游戏的节奏，让己方处于主动优势进攻地位，打出节奏感来。但是随着该词使用的频率越
P月,2019,摘要： P月的来源和意思用华为p30pro手机拍摄出月亮的照片，像做过了特殊的图像处理（P：PS），不符合官方宣传。评测媒体爱否科技的王跃琨在其微博发了两张用“华为p30pro手机”拍摄出的月亮的照片，并认为“
轮流发生性关系,2014,摘要： 停车做爱枫林晚，轮流发生性关系。。。
小清新,2017,"摘要： 远离灯红酒绿,走小清新路线"
潜规则,2015,摘要： 不被潜规则就演不上主角哎，这世道啊
狗仔,2014,摘要： 你长得太帅了，不宜做狗仔
我跳,2019,摘要： 极限挑战猪羊兄弟用来感叹的词语
种草,2019,摘要： 种草的来源和意思在互联网时代，种草已经不再指传统意义上的植树种草了，这里的种草指的是给某人安利一件商品，激发他的购买欲望，把一个人的购买欲激发起来的过程就叫做种草。种草来源有量大途径，一方面是社交平台，
top5生活,2019,摘要： top5生活的来源和意思大概是住着2000万的房子，每年交一万物业费，能闻出别人身上“地铁味”家里只有一个马桶的社会精英过的生活。该梗出自近日一位名为张晓晗的作者在微博发布了一篇微博，说家里马桶堵了，本
买了佛冷,2019,摘要： 买了佛冷的来源和意思&nbsp; &nbsp; 买了佛冷是最近非常火爆的一个流行语，也是因为抖音这类产品的流行，使得流行语的传播速度比以往更快，更广泛了。在视频或者直播的弹幕中，可以发现，买了佛冷是使用
小萝莉,2017,摘要： 朋友都叫我小萝莉，感觉真好哦
diss,2019,摘要： 该词是英文单词&nbsp;Disrespect&nbsp;(不尊重)&nbsp;或是&nbsp;Disparage&nbsp;(轻视)&nbsp;的简写，是Hip&nbsp;Hop&nbsp;中的一个重
鲸落,2019,摘要： 鲸落的来源和意思原指鲸鱼死亡后落到海底，身上自成一个小生态系统，这个以鲸鱼为根基的群落就叫鲸落当然我知道你们想找的不是这个鲸落对应的情侣名是鲨掉沙雕，因此常常被用来恶搞。除此之外，还有鲸落南北，猫南北等
贼冇（zei mao）,2020,摘要： 吴语&nbsp;意思是“算了吧”的意思和&nbsp;“拔毛”同音（相反的意思可以理解成一毛不拔的铁公鸡）举个栗子你和弟弟吵架，一般妈妈会出来对你说“贼冇，让一下他”。
人家拿小拳拳捶你胸口,2017,摘要： 小拳拳捶你胸口，是指用手捶胸口。2017年上半年最火网络流行语。
穿越,2014,摘要： 今天在飞机站看到一古装MM，瞬间感觉穿越了。
无慈悲,2019,摘要： 无慈悲的来源和意思表示一种绝不留任何情面的情感状态的一个语气词。日本淫梦民（恶搞日本GV《仲夏夜之淫梦》的人】）会经常回复不了解淫梦并乱玩梗的网民“自裁，请（无慈悲）。”意思就是“请去受死吧！”无慈悲的
退役熬夜员,2019,摘要： 时代在进步，社会在发展，越来越多的人选择自愿加入成为熬夜员，有手机相伴，抖音，头条，游戏，追剧等等娱乐项目已经让漫漫长夜不再漫长，“我在刷一会抖音就睡觉”，只是没想到一会天就亮了。这就是一种现状，学生晚
像极了爱情,2020,摘要： 并非特指爱情，更多是调侃的含义。这个梗出处的完整句子是说爱情没错，略显凄凉和辛酸，原意是指人们在这句话中体会到了对爱情的嘲讽“像极了爱情”是出自网易云音乐的热评，原句是”暖昧上头的那几秒，像极了爱情”之
凹凸曼,2014,摘要： 不知道草泥马是什么意思?你凹凸曼了
奥斯卡颁奖大乌龙,2017,摘要： 第89届奥斯卡金像奖于2017年2月26日举行，小李的陪跑梗去年就已经终结了，今天的奥斯卡却又出现了一个史上最大的“奥斯卡颁奖大乌龙”梗，关于“奥斯卡颁奖大乌龙”是什么梗，一起来看看吧
背书包护蛋,2014,摘要： 近日，北京丰台区草桥小学学生一整天都在背着书包，而且是不管做什么书包都不能放下来，这是为什么呢？原来学校是让他们“背书包护蛋”
翔,2017,"摘要： 狗改不了吃屎,日本人改不了吃翔啊"
啪啪匠,2015,摘要： 我是一个啪啪匠，啪啪能力强
甘蔗男,2019,摘要： 甘蔗男的来源和意思这个是其实就是渣男的意思，只不过是换成一种生动形象的表达方式，形容开始非常甜，但是最后却是只剩渣，这就是一个吃甘蔗的过程。这种男人追你的时候会使用各种方法手段哄你开心，甜言蜜语，暖心行
人生数   古月廴聿,2019,摘要： 人生就是许多个0，每一个人的0多少不一样，但你就是个1，当你倒下，那就什么都没有了。
我怀疑你在开车 但是我没证据,2019,摘要： 我怀疑你在开车 但是我没证据的来源和意思我怀疑你在开车 但是我没证据的使用例句我怀疑你在开车 但是我没证据的英文翻译
鼠吧啦夕,2020,摘要： 鼠吧啦夕的来源和意思读音接近于斯巴拉西，而且2020年还是中国鼠年，就表达出这样的新春祝福??“祝您新的一年鼠吧啦夕~”就是祝福新的一年生活会非常精彩会非常棒这样的意思，注意是意思哟，不代表翻译哟(虽然
接地气,2014,摘要： 狗趴在水泥地上，那么狗和土地之间还隔了一层水泥，就不是接地气了
无惨,2020,摘要： 无惨的来源和意思无惨，炭治郎的终生仇敌，鬼灭之刃的大BOSS，让下属送死，自己狗命的屑老板无惨：来源于日文。指画面内容和表现的故事比较重口味，比较另类的绘画作品。让无惨一词被大家熟知的，应该是本子画师桃
双飞,2015,摘要： 两女一男同住一室?不会是双飞吧?
SOP,2019,摘要： SOP的来源和意思SOP是“标准操作流程”的英文首字母缩写（Standard Operating Procedure）。意为将某件事物的规范操作流程用规范的语言严谨详细地描述一遍。比如说著名冷笑话“把大
校长开房体,2014,摘要： 大家应该还记得去年海南的一位校长找小学生开房的事情，那段事情之后，流行了一种行为艺术，被叫做“校长开房体”
板凳,2014,"摘要： 论坛中第二个回复帖子的位置.如果你第二位回帖,那么你就是抢到了板凳."
Gap,2019,摘要： Gap&nbsp;Year，间隔年的简称，通常被留学生用来委婉的描述毕业后找不到工作，而不得不赋闲在家啃老这种状态。当然也有的人不止Gap&nbsp;Year，而是直接Gap了Life
毁童年,2018,摘要： 毁童年的来源和意思毁童年泛指那些现在看到的，理解的和小时候完全不一样的东西，通常多见于小时候觉得很纯真的东西，长大后发现变了味，完全不是以前的样子的，那么给人的感觉类似于毁三观，简直是颠覆了你原先的认知
叫兽,2014,摘要： 北京大学为什么老出名叫兽？
你怎么可以发语音,2019,摘要： 你怎么可以发语音的来源和意思指看到别人发送的某些文字、图片时，就感觉听到了相关的声音，其实并没有真正的发送语音。大家在看到一些来源于歌曲、视频的文字、图片时，就会不由自主的联想出其带有的BGM。回想起当
二百五,2014,"摘要： 如果得罪了一位顾客,那么失去的将是250位潜在客户"
靠,2014,摘要： 对于现在的年轻人来说，很多人将这个词当成了口头语，听上去稍微会有些难听，但是那种愤怒的程度一般人也难以理会。下面我们一起走进含义网来了解一下吧！
确认过眼神,2018,摘要： 确认过眼神眼神，我遇上对的人，不知道什么时候开始，这句歌词流行起来了
人家拿小拳拳捶你胸口,2017,摘要： 小拳拳捶你胸口，是指用手捶胸口。2017年上半年最火网络流行语。
伤不起,2015,摘要： “伤不起”一词最初在豆瓣、校内上以文章标题的形式流行，被称为“校内体”。
滚粗,2014,摘要： 人在生气的时候有很多表达情绪的方式，诸如，不说话、砸东西、骂人等等方式，现在也有人说“滚粗”，你知道什么意思吗？
1450,2019,摘要： 1450的来源和意思现在已经成为台湾网络水军的代名词。台湾“农委会”今年编列1450万元新台币预算对外招标，以每月4万元以上薪资，招募至少四人在网络论坛等社交平台进行讯息实时澄清等工作。该一举动引起网友
我们白着呢,2019,摘要： 我们白着呢的来源和意思我们皮肤很白呢，才不是“黑皮肤”的人哦。出自浙江卫视的亲子综艺节目《爸爸回来了》中，贾乃亮的女儿贾云馨（甜馨）的经典语录。甜馨一家人在一起吃饭，聊到了谁长得比较黑，甜馨的爷爷故意对
易透达春绿,2019,摘要： 易透达春绿的来源和意思谐音一头大蠢驴，出自一首广为流传的谐音骂人诗《卧春》，谐音《我蠢》。《卧春》　　　 《我蠢》暗梅幽闻花，　 俺没有文化卧枝伤恨底，　 我智商很低，遥闻卧似水，　 要问我是谁，易透达
好嗨哦,2019,摘要： 抖音红人毛毛姐成名金句“好嗨哦!&nbsp;感觉人生已经到达了巅峰，感觉人生&nbsp;已经到达了高潮，好夺目!好炫彩!”这&nbsp;句好嗨哦简直有毒。只要看过毛毛姐&nbsp;的抖音视频，看到“好嗨
好好读术,2019,摘要： 好好读术的来源和意思也称为好好毒树，都是好好读书一词的谐音。是影视剧巴啦啦小魔仙中游乐王子的一段口误发音，因为其魔性搞笑而走红网络。现在多用在表示好好学习的语境中，也用来调侃别人要多去学习。可以单独使用
斑竹,2014,摘要： 写了好长时间才写好的帖子哦，求斑竹给加精
奥斯卡颁奖大乌龙,2017,摘要： 第89届奥斯卡金像奖于2017年2月26日举行，小李的陪跑梗去年就已经终结了，今天的奥斯卡却又出现了一个史上最大的“奥斯卡颁奖大乌龙”梗，关于“奥斯卡颁奖大乌龙”是什么梗，一起来看看吧
别人家的孩子,2019,摘要： 考得不好时，老妈来一句你看看别人家的孩子………考的那么好，再看看你套餐：别人家的老公/老婆别的班成绩别的班的同学别人的女朋友/男朋友这个时候，你需要做的就是怼！怼：你看看别人家的妈妈，哪像你那么粗暴，直
9527,2019,摘要： 表示无厘头或好笑。源于周星驰电影唐伯虎点秋香中唐伯虎在华府为奴时的编号。之后一系列影视娱乐作品都致敬该数字。
德国骨科,2020,摘要： 德国骨科，来源于网络上的一个传闻，2012年3月1日，有网友在微博上发布了一条消息：就是发生在身边的事情&nbsp;某个汉化组的某个翻译因为上了实妹，被家里人打断了腿。一对亲兄妹，因为相互媾合被父亲当场
双重国籍,2019,摘要： 双重国籍的来源和意思指一个人拥有两个国家的国籍，即为两个国家的合法公民。例如，在外国出生的孩子、与外国人结婚、取得他国国籍后不放弃本国国籍都有可能获取双重国籍。但是中国不承认双重国籍，我国的政策是对于获
闪,2015,"摘要： 大便来也,速度闪人啊"
种草,2019,摘要： 种草的来源和意思在互联网时代，种草已经不再指传统意义上的植树种草了，这里的种草指的是给某人安利一件商品，激发他的购买欲望，把一个人的购买欲激发起来的过程就叫做种草。种草来源有量大途径，一方面是社交平台，
被KTV,2019,摘要： 被KTV的来源和意思指的是“被开除”的意思。该梗来源于6324李赣用请客唱K的方式开除人，后来德云色被用梗，孙亚龙把图图开除了，请他唱了KTV，因此“被KTV”用来形容被开除。目前广泛用于电竞和直播界，
style,2017,"摘要： 熟女坐车时小幅度摆动双腿,是自慰style吗？"
安可,2018,摘要： “安可”一直是网络上常见的流行语，第一次见还以为是英文叔叔的谐音，然而发现是我想多了。关于“安可”是什么意思，“安可”的出处在哪里
天选招财猫,2019,摘要： 不仅能喜提10万颗鸡蛋、1万斤西瓜等价值千万的大礼自由分配，天猫618当天还会给他家乡下500万现金红包雨，拥有天选的幸运和招财的技能，因此被称为“天选招财猫”。人招财猫，全城皆锦鲤。
数字狗,2019,摘要： 数字狗的来源和意思知名车评人38号粉丝群体代称。源于38号（李天扬）创立的一档独立制作并在网络播放的汽车评测类节目38号车评中心。38号通过这个节目聚集了大批粉丝，再加上他的名字38号，所以这些粉丝被称
洗飞机,2017,摘要： 她们边说要洗飞机不？边将手伸进了我的裤裆。。。
円族,2014,摘要： 円族现实含义就是基于淘宝官方盛典数据的发布，导致网民们看到数据后群情激动，几千亿的数据都是网购贡献，网民贡献的不是物品，不是精神，是円。
积分式恋爱,2019,摘要： 积分式恋爱的来源和意思指一种恋爱中的相处模式：如果对恋人的行为举止不满，会选择先隐忍不言，忍到无法再忍才会向对方爆发。这种模式相当于把自己对另一方的不满转化成可量化的“积分”，根据对方行为的讨厌程度，在
甩奶,2015,摘要： 低胸透视上演甩奶舞，哎又是个卖肉的女孩。。。
qiou,2019,摘要： “qiǒu”，拼音是qiong+chou=qiǒu结合出来的，翻译过来是“穷”与“丑”相结合，字面意思为“又穷又丑”，“一穷二白”，同“糗”。也有人调侃这个词读作“wo”。“qiǒu”被网友们称为201
捉鸡 捉急,2017,摘要： 您的智商真的是令人捉鸡啊
饭圈女孩、帝吧网友,2019,摘要： 这几天，来自网上网下的爱国爱港声音，正在汇聚。继饭圈女孩集体“守护全世界最好的阿中”后，“远征始祖”帝吧网友也出动了，他们传递出质朴的爱国情感，也让更多人听到来自中国的声音。今晚，我们就来聊一聊这群青年
伐开心,2019,摘要： 伐开心的来源和意思吴语（江浙一带的方言）中“不开心”一词的口语表达。在网络上使用时，一般是在因心情不佳而向亲近的人撒娇求安慰。因微博写手大咕咕咕鸡的文章《黄浦江与领导的故事》而在网络上流行。文章中黄浦江
毒王,2020,摘要： 毒王的来源和意思毒王指的是传染病中的超级传播者。在一些传染病中，有些人虽然感染了病毒，他是他本身并不发作，跟病毒和谐相处，但是还具备传染性，能够把病毒传染给与其接触的人，不知不觉中可以传染给很多了，这就
强撸,2015,摘要： 小撸怡情，大撸伤身，强撸灰飞烟灭
挫男,2019,摘要： 挫男的来源和意思人前一副老实巴交的样子，普通长相，普通背景，但其实是干啥啥不成，吃啥啥不够，心比天高，命如纸薄的一种典型的遭女性讨厌甚至唾弃的男性类型。他们因自身意志太过柔弱，总是遭遇打击但却总喜欢在别
云监工,2020,摘要： 云监工的来源和意思指一群观看武汉火神山、雷神山疫情防控医院建工的网友们。闲疯帝的的职业名称为了缓解医疗资源紧张的问题，武汉从1.23号到现在准备建立两所临时医院，为此今日中央开设了疫情24小时直播栏目，
我跳,2019,摘要： 极限挑战猪羊兄弟用来感叹的词语
汁多肉少,2021,摘要： 近日一伙游客在海南三亚景区的酒楼吃饭，其中点了一道叫海胆蒸蛋的菜，6个总计200多块，也不算便宜了，可是发现里面没有海胆肉，甚至连海胆味都没有，于是找餐厅理论，并报了警，多个部门同时介入调查。很快啊，三
咖喱人,2019,摘要： 咖喱人的来源和意思“家里人”的不标准普通话表达。通常用于语气非常不友好或辱骂的情况，常见连句是“咖喱人不要了？”意为家里人不要了，咒骂对方全家。可能来源于山泥若的疼痒话，也可能来自6324。因为双方粉丝
深井冰,2021,摘要： 深井冰的来源和意思是神经病的谐音叫法，指代神经病的意思，说得比较委婉一点没那么直接，比较早之前流行过，后来被蛇精病所取代，代表的都是相同的一时，当然现在偶尔也可以看到有人使用深井冰。深井冰深井冰的使用例
咸鸭蛋女孩,2019,摘要： 咸鸭蛋女孩的来源和意思有些女孩子看起来斯斯文文，落落大方，端端庄庄，可可爱爱的，但是如何你打开的她的硬盘，看过她的浏览记录，追踪过她的贴吧发言，翻看她的聊天记录，钻进她的脑子里，你就会发现整个女孩都“腐
友谊的小船说翻就翻,2019,摘要： 2017年7月18日，在《中国语言生活状况报告(2017)》中，“友谊的小船说翻就翻”入选2016年度十大网络用语。最早的说法来自英文友谊一词&nbsp;“friendship”，朋友的船，而说翻就翻的
粽子自由,2019,摘要： 不同于“车厘子自由”的无奈，粽子自由”更看中的是态度。粽子大家都吃的起，但包的内馅却代表了个人的人生态度。当你敢在粽子里包小龙虾、包鲍鱼的时候，就说明你认可了人生在世不能亏待自己，届时你就实现了“粽子自
围脖,2017,摘要： 并不仅仅指围在脖子上的东东哦
体育生,2020,"摘要： 体育生的来源和意思推特汤不热等境外社交软件上经常出现带有体育生标签的帖子，大多数时候都是男同性恋交友，多用来描述受。说是体育生，可能是真的体育生，也可能是强调身材好,谁知道呢？"
油菜花,2017,摘要： 有才华
18禁,2014,"摘要： 18禁文艺作品,你有多少?"
通稿,2020,摘要： 原指企业或组织在对外进行新闻发布时，为了保持各新闻平台发布内容的一致，口径统一，而提供给各个媒体所用的文章，通常为同一份稿件，是通用稿件，因此被称为通稿。
赵梓婷痛经,2019,摘要： 赵梓婷痛经的来源和意思粉丝用来评论，抖音红人赵梓婷的话。赵梓婷是辽宁沈阳人，说话自带东北社会人的感觉，而且她基本上每个抖音视频都是在说一些社会语录，而且还都非常押韵，仿佛已经参透人生真理，一副要告诫世人
淑芬,2019,摘要： 淑芬的来源和意思“书粉”的另一种说法，一般特指某文学作品原著的粉丝，常见于小说影视化后相关粉丝和爱好者的讨论中。由于小说爱好者和影视爱好者（包括演员粉丝）对影视作品的评判重点、期待值和审美情趣经常差距巨
小鸟伏特加,2020,摘要： 小鸟伏特加的来源和意思这是抖音上一个名叫“新二的快乐生活”的网红给他自己配置的饮料起的名字。新二的快乐生活经常会发布一些模仿俄罗斯人吃饭喝酒的视频，视频中能看到他拿出一个15L的大水桶，里面装着他自制的
洗飞机,2017,摘要： 她们边说要洗飞机不？边将手伸进了我的裤裆。。。
拼爹,2014,摘要： 近年来，“农民工二代”、“贫二代”、“富二代”、“官二代”、“名二代”、“垄二代”（全家几代人都在国有垄断企业）的概念日渐清晰，人们普遍感到改变命运的渠道越来越窄。以致专家也不由感叹，生活美好真得靠“拼
Fate,2019,摘要： Fate的来源和意思fate系列有游戏、小说、动漫等非常多作品所以你别妄想全部了解了。故事讲述的是围绕能实现任何愿望的圣杯所展开的，被圣杯所选中的七名魔术师和他们所召唤的七名英灵（古今中外历史故事中的著
内卡,2020,摘要： 出自2010后狮子座宝宝的名词词库，对内裤的别称，卡屁股的三角内裤叫内卡
爆出翔,2014,"摘要： 不出意外,国足又被爆出翔了..."
a货,2014,摘要： 正品买不起，就买双可以以假乱真的a货了嘿嘿
我没有无能为力过！凭什么说努力过。,2019,摘要： &nbsp;我没有无能为力过！凭什么说努力过。
粽子,2019,摘要： 粽子的来源和意思这里的粽子不是指端午节吃的那个粽子，而是类似僵尸一样的鬼怪。盗墓小说或影视剧常有，盗墓者的暗语，称尸体为粽子。共分七类：大粽子、老粽子、干粽子、肉粽子、血粽子、霉粽子、女粽子。其中大粽子
奈斯/奶思,2019,"摘要： 奈斯/奶思英文nice的""中文读音版""，多用于对于一件事情。知情者表示""干的好""或者""你很吊，做出这事。"""
撩骚过敏,2019,摘要： 撩骚过敏的来源和意思搞对象可以，但是不喜欢油腻的撩骚套路，一被撩骚就恶心想吐浑身难受恨不得马上把你拉黑，特别是面对一些土味情话，更是觉得很是肉麻鸡皮疙瘩受不了，对于一些骚话连篇的更是难以接受觉得恶心干呕
猕猴桃女,2019,摘要： 猕猴桃女的来源和意思看起来毛毛躁躁不起眼，实际给人酸酸甜甜恋爱的感觉猕猴桃女的使用例句猕猴桃女的英文翻译
床底料,2020,摘要： 是指好像是趴在别人床底下听到看到一样的爆料。其实范围不是特别明确，一般指与性相关的或者发生在明星自己房间里的事情。
内卡,2020,摘要： 出自2010后狮子座宝宝的名词词库，对内裤的别称，卡屁股的三角内裤叫内卡
憨批,2019,摘要： 憨批的来源和意思憨憨和傻批的结合，也就是傻子的意思，形容这个人很楞。憨是陕北一代人的方言，类似的词还有铁憨憨，憨这个词听起来就有一种可爱、老实、憨厚的意思，所以说相对于傻批来说，语气更轻一点。例句：中餐
大拿,2014,"摘要： 上了四年学，处了40多个对象,绝对是泡妞大拿啊"
特么,2017,摘要： 你特么到底什么意思
非洲警告,2019,摘要： 非洲警告的来源和意思1.要把人派到非洲去了。来源于网络账号“朱一旦的枯燥生活”，该账号的系列视频主角是一位名叫朱一旦的人。视频中另一位角色：朱一旦的酒肉朋友，在出演时经常有瞪眼动作，且有时会荒诞地将视频
风一样的女子,2014,摘要： 淑女、女汉子、白富美等都是对女子的一些称呼，那风一样的女子是什么意思呢？
戏精,2019,摘要： 作为网络流行语的该词其含义为形&nbsp;容某个人戏很多，很会给自己加戏，&nbsp;喜欢博眼球的意思。用法有褒又贬，&nbsp;褒义就是单纯的赞美很会演的意&nbsp;思，贬义就是爱作秀，说的通俗一点
豆瓣鹅组,2020,"摘要： 豆瓣鹅组的来源和意思这是一个知名豆瓣小组，里面主要讨论娱乐圈相关的明星八卦趣闻，其前身是“八卦来了”，由于某些原因小组被封，后面成立新的小组叫“豆瓣鹅组”，创建于2010年5月26日，组内成员互称“"
宽油,2019,"摘要： 宽油的来源和意思指在做菜时，使用非常大量的油倒在锅里并铺开，让锅的内部沾上厚厚一层油（学名滑锅）然后再倒出。""宽""即代表油的表面积很宽。这种烹饪方式能让做出的菜肴味道更香更入味。但经常被倡导健康饮食"
图样图森破,2017,摘要： 你们还需要学习，你们啊，图样图森破。。。
橄榄树人,2019,摘要： 橄榄树人的来源和意思身边的人好像都身怀绝技，各有所长，而自己却感觉啥也不行，啥也不会。但跟大家相处的也不错，并没有因为自己的平庸而产生隔阂。厉害的人太多，要分出高下太费事，可是跟自己比，都显得优秀的很突
海的味道我知道,2019,摘要： 海的味道我知道的来源和意思一个非常成功的广告语文案，即“海的味道我知道波力海苔～”，在电视播放时很多人记住了它，即使现在广告不播了，也因为经常出现在去海边游玩了，吃到了海鲜等等与大海相关的语境中而被大家
high,2014,"摘要： 在劲爆音乐和饮料的刺激下,大家都high起来了"
不吹不黑,2021,摘要： 不吹不黑的来源和意思意思是不吹牛逼，也不故意抹黑，讲大实话，实事求是，客观公正的去评价一件事情或者一个人。通常用于开头，接着发表评价或者看法，以让自己说的话更加的有说服力，更加可信。当然有时候也会被人滥
内卷,2021,"摘要： 现在""内卷""是个热门词，各行各业，从学习到工作，言必谈内卷。什么是内卷呢，常举的一个例子，就是金庸武侠小说中的葵花宝典，这项武功是那些资质平凡练武人的救命良药，获得秘籍，练成能一统江湖，成为天下霸主"
和谐,2014,"摘要： 快播被和谐了,以后毛片到哪去找呢"
私生饭,2020,摘要： 私生饭源于韩语???（Sasaeng fan），即私（?）人生（?）活的Fan（?）。
要啥自行车,2019,摘要： 东北话，也说成“要什么自行车”，用来奉劝他人现在已经很好了，要知足常乐，不要再提出更过分的要求了。爆红自2001年CCTV春节联欢晚会赵本山的小品《卖拐》
路痴,2014,摘要： 路痴是指没有方向感或者方向感差的人，或者说是对所经过的路不在心不注意观察，记不住路方向的人
蕾丝边,2014,摘要： 我对男人不感兴趣，我是蕾丝边吗？
orz,2019,摘要： Orz&nbsp;是失意体前屈的缩写，是一种源自于日本的网络象形文字（或心情图示），原本指网络流行的表情符号“○|￣|_”，&nbsp;这个形状好像是一个人被事情击垮跪在地上的样子，是用来形容被事情打败
土木三班陈同学,2018,摘要： 土木三班陈同学是什么梗，土木三班陈同学后来真相如何，流行语百科带你一起解读
嘤嘤嘤,2021,摘要： 一般是女生用来撒娇卖萌的，表示其委屈或者楚楚可怜，就快要哭了的那种感觉
反向修音,2020,摘要： 反向修音的来源和意思也被人称之为阴间修音原本修音的意图为让自己的声音听起来更加好听，但通过反向修音，可以让你平平无奇甚至还有点小瑕疵的声音变的如同鬼叫，令人耳不忍闻，让人想要去死反向修音的使用例句今天第
水军,2015,摘要： 哎呀又是水军在引导舆论啦
别人家的孩子,2019,摘要： 考得不好时，老妈来一句你看看别人家的孩子………考的那么好，再看看你套餐：别人家的老公/老婆别的班成绩别的班的同学别人的女朋友/男朋友这个时候，你需要做的就是怼！怼：你看看别人家的妈妈，哪像你那么粗暴，直
国士,2020,摘要： 国士的来源和意思心怀天下，舍身为国的高洁之士。常说：“国士无双”，即国家中最杰出的，无可替代的人。源自《史记·淮阴侯列传》中萧何对韩信的描述：“诸将易得耳，至如信者，国士无双。”如杂交水稻之父袁隆平，抗
化学阉割,2014,"摘要： 戒撸老是失败,好想化学阉割一下,一了百了啊."
臭鱼烂虾,2019,摘要： 臭鱼烂虾的来源和意思字面上的意思就是泛指一切发霉变质的肉类菜肴。指腐烂了的肉菜，最容易造成种种疾病。用来形容人窝囊废，没用，跟臭鱼烂虾一样没用只能丢掉该词第一次出现是在6324抽象工作室的弹幕独轮车上出
退休预备员,2019,摘要： 广泛存在的一类年轻群体，他们虽然年纪不大，却时常幻想着早点退休，去安享退休生活。每天喝喝茶，遛遛鸟，在公园里散散步。不再要什么轰轰烈烈了，只想领着退休工资安安静静地活着，不浮不躁，成熟稳健。
冻容,2014,摘要： 美国《哈泼时尚》杂志创造了一个新名词“Cyronbabies”（台湾媒体生动地将其翻译成“冻容世代”），意思是二十岁上下的年轻女生，为了把美丽放进“冰箱”，将自己的年轻美貌永久保存，早早开始抗老历程。
扎心魔仙,2019,摘要： 扎心魔仙的来源和意思指巴啦啦小魔仙中的占星魔仙。因剧中人物的占星一词发音类似扎心，剪辑到口胡视频中时配上了字幕“扎心”，“占星魔仙”就成为了扎心魔仙。也由于魔仙被称为摸仙，而称为“扎心摸仙”占星魔仙有不
损耗型社交,2019,摘要： 自己会习惯多为对方考虑一点但并不强求对方也这样对自己。经常在人际交往中，总是默默咽苦水导致很多时候就不愿意去社交，因为真的不想再委屈自已啦。
逆袭,2015,摘要： 屌丝终有逆袭日，黑耳再无回粉时
杀人游戏,2015,摘要： 一种纸牌游戏“杀人游戏”。
年会恐惧症,2014,摘要： 年会年年有，年年生恐惧，这是为何？
外向孤独症,2019,摘要： 外向孤独症 (Outgoing autism)特征从小懂得很多道理。容易在一件事上钻牛角尖。有时很神经，有时很镇静。对待不同的人有不同的性格。能很快平复或压制自己的情绪。安慰很多人，但自己却没人安慰。有
Fate,2019,摘要： Fate的来源和意思fate系列有游戏、小说、动漫等非常多作品所以你别妄想全部了解了。故事讲述的是围绕能实现任何愿望的圣杯所展开的，被圣杯所选中的七名魔术师和他们所召唤的七名英灵（古今中外历史故事中的著
吹萧,2019,摘要： 吹箫的来源和意思吹箫原本指的是吹奏一款乐器，但是互联网上的吹箫可不是吹奏乐器!在互联网上赋予了更加内涵的意味，在网络上吹箫指的是，女生帮男生口交，也就是我们常说的咬，是不是很污呢?“吹箫”走红是由于20
过油不基,2019,摘要： 过油不基的来源和意思指某些bl影视或某人为了卖腐(即某些男性通过一些暗示，故意表达自己喜欢男性，以博取男同性恋爱好者关注的一种行为)，其手段和细节展现的过于油腻（尤其那种，人很邋遢，却总对爱慕对象说些，
现充,2017,摘要： 可以将我这个死宅变成现充吗
拎的清,2019,摘要： 指能分清手里拎的什么垃圾的上海人
瑶妹七米一,2019,摘要： 七米一这个梗来自敛芳尊金光瑶，瑶妹官方身高一米七，就连聂导的身高都不只这个数，相比其他人动不动就一米八几的身高，瑶妹估计是太聪明，顾不及身高了。
总裁，夫人肯认错了,2020,摘要： 该梗出自微博的小说广告文，一般都以秘书向总裁上报消息的形式出现，内容往往悬念感十足，十分猎奇以吸引路人。
鸭梨山大,2017,摘要： 鸭梨山大的来源和意思&nbsp; &nbsp;不多解释了，就是“压力山大”的意思啦，意为“压力像山一样大”。&nbsp; &nbsp;&nbsp; &nbsp;类似的还有“毫无鸭梨”表示“毫无压力”的意
